doi,title,authors,year,venue,type,cited_by,oa_url,query_id,area,query_string,retrieved_utc
10.1016/j.jcp.2012.01.028,A guide to RBF-generated finite differences for nonlinear transport: Shallow water simulations on a sphere,Natasha Flyer; Erik Lehto; Sébastien Blaise; Grady B. Wright,2012,Journal of Computational Physics,article,177,http://hdl.handle.net/2078.1/108019,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1029/2011ms000099,Idealized tropical cyclone simulations of intermediate complexity: A test case for AGCMs,Kevin A. Reed; Christiane Jablonowski,2012,Journal of Advances in Modeling Earth Systems,article,115,https://doi.org/10.1029/2011ms000099,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1175/mwr-d-11-00221.1,Controlling the Computational Modes of the Arbitrarily Structured C Grid,Hilary Weller,2012,Monthly Weather Review,article,108,,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1016/j.jcp.2010.04.044,High-order finite-volume methods for the shallow-water equations on the sphere,Paul Ullrich; Christiane Jablonowski; Bram van Leer,2010,Journal of Computational Physics,article,103,,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1098/rsta.2008.0207,Developing the next-generation climate system models: challenges and achievements,Julia Slingo; Kevin R. Bates; Nikos Nikiforakis; Matthew D. Piggott,2008,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences,article,84,https://doi.org/10.1098/rsta.2008.0207,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1016/j.jcp.2005.01.004,A nodal triangle-based spectral element method for the shallow water equations on the sphere,Francis X. Giraldo; Tim Warburton,2005,Journal of Computational Physics,article,79,,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1175/mwr2788.1,Numerically Converged Solutions of the Global Primitive Equations for Testing the Dynamical Core of Atmospheric GCMs,Lorenzo M. Polvani; R. K. Scott; Stephen J. Thomas,2004,Monthly Weather Review,article,78,https://journals.ametsoc.org/downloadpdf/journals/mwre/132/11/mwr2788.1.pdf,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.3894/james.2010.2.15,Rotated Versions of the Jablonowski Steady‐State and Baroclinic Wave Test Cases: A Dynamical Core Intercomparison,P. H. Lauritzen; Christiane Jablonowski; Mark A. Taylor; Ramachandran D. Nair,2010,Journal of Advances in Modeling Earth Systems,article,70,https://onlinelibrary.wiley.com/doi/pdfdirect/10.3894/JAMES.2010.2.15,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1016/j.jcp.2005.08.027,A wave propagation method for hyperbolic systems on the sphere,James A. Rossmanith,2005,Journal of Computational Physics,article,60,,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
10.1016/j.jcp.2005.04.022,Unsteady analytical solutions of the spherical shallow water equations,M. Läuter; Dörthe Handorf; Klaus Dethloff,2005,Journal of Computational Physics,article,53,,F1,forward-cite: Galewsky 2004,cites:10.3402/tellusa.v56i5.14436,2026-07-25T10:56:57Z
